adversarial-verifier	agent	multi-agent,architecture,code
ai-engineer	agent	ai
ai-ethics-governance-specialist	agent	ai
api-contract-reviewer	agent	api
api-integration-specialist	agent	api
api-tester	agent	api
architect	agent	architecture
architect-team	skill	architecture
backend-architect	agent	architecture
backport-review-fix-into-plan-of-record	skill	git
brand-guardian	agent	frontend
caveman	skill	authoring
ci-triage	agent	devops
code-architect	agent	architecture,code
code-quality-reviewer	agent	code
code-team	skill	code
database-architect	agent	architecture
debugging-feedback-loop	skill	debugging
deep-investigator	agent	multi-agent
devops-engineer	agent	devops
doc-accuracy-audit	skill	authoring
fix-blocker-rather-than-override	skill	git
frontend-developer	agent	frontend,mobile
generator-oracle-zero-diff-verify	skill	debugging
ghcr-first-push-403-seed-and-link	skill	devops
grill-brainstorm-build	skill	devops
llm-evals-engineer	agent	ai
mcp-overflow-delegate-summary	skill	authoring
mid-session-master-advance-rebase	skill	git
mobile-app-builder	agent	mobile
mobile-team	skill	mobile
mobile-ux-optimizer	agent	frontend,mobile
multi-agent-branch-collision-recovery	skill	multi-agent
n8n-workflow-builder	agent	devops
normalize-and-group-imported-agent-pack	skill	authoring
partial-stage-comingled-file-when-add-p-unavailable	skill	git
performance-engineer	agent	code,mobile
public-readiness-audit	agent	security
push-from-worktree-to-integrate-past-foreign-dirty-main	skill	git
readme-diagram-audit	skill	authoring
recon-swarm	skill	multi-agent
remote-branch-graveyard-sweep	skill	git
security-reviewer	agent	security
security-specialist	agent	security
shared-brief-parallel-fanout	skill	multi-agent
skill-builder	skill	authoring
stacked-pr-base-branch-delete-closes-child	skill	git
stacked-pr-for-review-split	skill	git
strip-claude-from-repo-for-public	skill	git
symlink-vs-realfile-classify-before-deleting-fanout-dups	skill	authoring
teach	skill	authoring
tech-lead	agent	architecture
ui-designer	agent	frontend,mobile
ux-researcher	agent	frontend,mobile
vet-foreign-pr-mergeability	skill	git
